"","1. open","2. high","3. low","4. close","5. adjusted close","6. volume","7. dividend amount","8. split coefficient"
"2001-08-29",302.51,302.51,302.51,302.51,302.51,0,0,1
"2001-08-30",296.61,296.61,296.61,296.61,296.61,0,0,1
"2001-08-31",297.66,297.66,297.66,297.66,297.66,0,0,1
"2001-09-03",294.71,294.71,294.71,294.71,294.71,0,0,1
"2001-09-04",299.69,299.69,299.69,299.69,299.69,0,0,1
"2001-09-05",295.65,295.65,295.65,295.65,295.65,0,0,1
"2001-09-06",288.57,288.57,288.57,288.57,288.57,0,0,1
"2001-09-07",281.17,281.17,281.17,281.17,281.17,0,0,1
"2001-09-10",278.82,278.82,278.82,278.82,278.82,0,0,1
"2001-09-11",261.5,261.5,261.5,261.5,261.5,0,0,1
"2001-09-12",266.37,266.37,266.37,266.37,266.37,0,0,1
"2001-09-13",268.68,268.68,268.68,268.68,268.68,0,0,1
"2001-09-14",255.18,255.18,255.18,255.18,255.18,0,0,1
"2001-09-17",260.79,260.79,260.79,260.79,260.79,0,0,1
"2001-09-18",258.35,258.35,258.35,258.35,258.35,0,0,1
"2001-09-19",252.07,252.07,252.07,252.07,252.07,0,0,1
"2001-09-20",242.33,242.33,242.33,242.33,242.33,0,0,1
"2001-09-21",235.9,235.9,235.9,235.9,235.9,0,0,1
"2001-09-24",248.1,248.1,248.1,248.1,248.1,0,0,1
"2001-09-25",251.1,251.1,251.1,251.1,251.1,0,0,1
"2001-09-26",254.23,254.23,254.23,254.23,254.23,0,0,1
"2001-09-27",257.71,257.71,257.71,257.71,257.71,0,0,1
"2001-09-28",266.29,266.29,266.29,266.29,266.29,0,0,1
"2001-10-01",259.89,259.89,259.89,259.89,259.89,0,0,1
"2001-10-02",261.61,261.61,261.61,261.61,261.61,0,0,1
"2001-10-03",263.37,263.37,263.37,263.37,263.37,0,0,1
"2001-10-04",271.67,271.67,271.67,271.67,271.67,0,0,1
"2001-10-05",270.51,270.51,270.51,270.51,270.51,0,0,1
"2001-10-08",269.96,269.96,269.96,269.96,269.96,0,0,1
"2001-10-09",269.32,269.32,269.32,269.32,269.32,0,0,1
"2001-10-10",276.02,276.02,276.02,276.02,276.02,0,0,1
"2001-10-11",280.19,280.19,280.19,280.19,280.19,0,0,1
"2001-10-12",278.13,278.13,278.13,278.13,278.13,0,0,1
"2001-10-15",273.29,273.29,273.29,273.29,273.29,0,0,1
"2001-10-16",275.4,275.4,275.4,275.4,275.4,0,0,1
"2001-10-17",281.88,281.88,281.88,281.88,281.88,0,0,1
"2001-10-18",277.26,277.26,277.26,277.26,277.26,0,0,1
"2001-10-19",273.11,273.11,273.11,273.11,273.11,0,0,1
"2001-10-22",276.67,276.67,276.67,276.67,276.67,0,0,1
"2001-10-23",283.73,283.73,283.73,283.73,283.73,0,0,1
"2001-10-24",284.23,284.23,284.23,284.23,284.23,0,0,1
"2001-10-25",279.22,279.22,279.22,279.22,279.22,0,0,1
"2001-10-26",285.69,285.69,285.69,285.69,285.69,0,0,1
"2001-10-29",279.78,279.78,279.78,279.78,279.78,0,0,1
"2001-10-30",273.26,273.26,273.26,273.26,273.26,0,0,1
"2001-10-31",277.41,277.41,277.41,277.41,277.41,0,0,1
"2001-11-01",279.06,279.06,279.06,279.06,279.06,0,0,1
"2001-11-02",280.35,280.35,280.35,280.35,280.35,0,0,1
"2001-11-05",286.93,286.93,286.93,286.93,286.93,0,0,1
"2001-11-06",286.77,286.77,286.77,286.77,286.77,0,0,1
"2001-11-07",289.15,289.15,289.15,289.15,289.15,0,0,1
"2001-11-08",294.29,294.29,294.29,294.29,294.29,0,0,1
"2001-11-09",291.34,291.34,291.34,291.34,291.34,0,0,1
"2001-11-12",285.04,285.04,285.04,285.04,285.04,0,0,1
"2001-11-13",294.61,294.61,294.61,294.61,294.61,0,0,1
"2001-11-14",294.09,294.09,294.09,294.09,294.09,0,0,1
"2001-11-15",294.9,294.9,294.9,294.9,294.9,0,0,1
"2001-11-16",296.87,296.87,296.87,296.87,296.87,0,0,1
"2001-11-19",299.74,299.74,299.74,299.74,299.74,0,0,1
"2001-11-20",296.24,296.24,296.24,296.24,296.24,0,0,1
"2001-11-21",296.14,296.14,296.14,296.14,296.14,0,0,1
"2001-11-22",298.23,298.23,298.23,298.23,298.23,0,0,1
"2001-11-23",296.74,296.74,296.74,296.74,296.74,0,0,1
"2001-11-26",296.76,296.76,296.76,296.76,296.76,0,0,1
"2001-11-27",293.29,293.29,293.29,293.29,293.29,0,0,1
"2001-11-28",289.52,289.52,289.52,289.52,289.52,0,0,1
"2001-11-29",289.2,289.2,289.2,289.2,289.2,0,0,1
"2001-11-30",288.95,288.95,288.95,288.95,288.95,0,0,1
"2001-12-03",287.87,287.87,287.87,287.87,287.87,0,0,1
"2001-12-04",291.42,291.42,291.42,291.42,291.42,0,0,1
"2001-12-05",299.81,299.81,299.81,299.81,299.81,0,0,1
"2001-12-06",300.62,300.62,300.62,300.62,300.62,0,0,1
"2001-12-07",298.07,298.07,298.07,298.07,298.07,0,0,1
"2001-12-10",293.58,293.58,293.58,293.58,293.58,0,0,1
"2001-12-11",293.65,293.65,293.65,293.65,293.65,0,0,1
"2001-12-12",290.5,290.5,290.5,290.5,290.5,0,0,1
"2001-12-13",286.16,286.16,286.16,286.16,286.16,0,0,1
"2001-12-14",283.72,283.72,283.72,283.72,283.72,0,0,1
"2001-12-17",290.35,290.35,290.35,290.35,290.35,0,0,1
"2001-12-18",290.24,290.24,290.24,290.24,290.24,0,0,1
"2001-12-19",287.69,287.69,287.69,287.69,287.69,0,0,1
"2001-12-20",286.07,286.07,286.07,286.07,286.07,0,0,1
"2001-12-21",291.39,291.39,291.39,291.39,291.39,0,0,1
"2001-12-24",291.9,291.9,291.9,291.9,291.9,0,0,1
"2001-12-25",0,0,0,0,0,0,0,1
"2001-12-26",0,0,0,0,0,0,0,1
"2001-12-27",297.11,297.11,297.11,297.11,297.11,0,0,1
"2001-12-28",298.73,298.73,298.73,298.73,298.73,0,0,1
"2001-12-31",298.73,298.73,298.73,298.73,298.73,0,0,1
"2002-01-01",0,0,0,0,0,0,0,1
"2002-01-02",293.69,293.69,293.69,293.69,293.69,0,0,1
"2002-01-03",299.09,299.09,299.09,299.09,299.09,0,0,1
"2002-01-04",300.57,300.57,300.57,300.57,300.57,0,0,1
"2002-01-07",297.77,297.77,297.77,297.77,297.77,0,0,1
"2002-01-08",295.36,295.36,295.36,295.36,295.36,0,0,1
"2002-01-09",295.24,295.24,295.24,295.24,295.24,0,0,1
"2002-01-10",292.6,292.6,292.6,292.6,292.6,0,0,1
"2002-01-11",294.61,294.61,294.61,294.61,294.61,0,0,1
"2002-01-14",288.17,288.17,288.17,288.17,288.17,0,0,1
"2002-01-15",290.92,290.92,290.92,290.92,290.92,0,0,1
"2002-01-16",287.93,287.93,287.93,287.93,287.93,0,0,1
"2002-01-17",291.26,291.26,291.26,291.26,291.26,0,0,1
"2002-01-18",290.25,290.25,290.25,290.25,290.25,0,0,1
"2002-01-21",288.63,288.63,288.63,288.63,288.63,0,0,1
"2002-01-22",288.61,288.61,288.61,288.61,288.61,0,0,1
"2002-01-23",291.04,291.04,291.04,291.04,291.04,0,0,1
"2002-01-24",294.55,294.55,294.55,294.55,294.55,0,0,1
"2002-01-25",293.51,293.51,293.51,293.51,293.51,0,0,1
"2002-01-28",296.12,296.12,296.12,296.12,296.12,0,0,1
"2002-01-29",291.96,291.96,291.96,291.96,291.96,0,0,1
"2002-01-30",288.71,288.71,288.71,288.71,288.71,0,0,1
"2002-01-31",292.45,292.45,292.45,292.45,292.45,0,0,1
"2002-02-01",293.46,293.46,293.46,293.46,293.46,0,0,1
"2002-02-04",289.99,289.99,289.99,289.99,289.99,0,0,1
"2002-02-05",285.21,285.21,285.21,285.21,285.21,0,0,1
"2002-02-06",282.33,282.33,282.33,282.33,282.33,0,0,1
"2002-02-07",284.74,284.74,284.74,284.74,284.74,0,0,1
"2002-02-08",284.34,284.34,284.34,284.34,284.34,0,0,1
"2002-02-11",286.94,286.94,286.94,286.94,286.94,0,0,1
"2002-02-12",286.84,286.84,286.84,286.84,286.84,0,0,1
"2002-02-13",288.88,288.88,288.88,288.88,288.88,0,0,1
"2002-02-14",291.7,291.7,291.7,291.7,291.7,0,0,1
"2002-02-15",289.7,289.7,289.7,289.7,289.7,0,0,1
"2002-02-18",288,288,288,288,288,0,0,1
"2002-02-19",282.65,282.65,282.65,282.65,282.65,0,0,1
"2002-02-20",280.85,280.85,280.85,280.85,280.85,0,0,1
"2002-02-21",283.65,283.65,283.65,283.65,283.65,0,0,1
"2002-02-22",280.89,280.89,280.89,280.89,280.89,0,0,1
"2002-02-25",284.86,284.86,284.86,284.86,284.86,0,0,1
"2002-02-26",286.87,286.87,286.87,286.87,286.87,0,0,1
"2002-02-27",290.87,290.87,290.87,290.87,290.87,0,0,1
"2002-02-28",289.84,289.84,289.84,289.84,289.84,0,0,1
"2002-03-01",292.94,292.94,292.94,292.94,292.94,0,0,1
"2002-03-04",298.64,298.64,298.64,298.64,298.64,0,0,1
"2002-03-05",297.35,297.35,297.35,297.35,297.35,0,0,1
"2002-03-06",297.71,297.71,297.71,297.71,297.71,0,0,1
"2002-03-07",299.35,299.35,299.35,299.35,299.35,0,0,1
"2002-03-08",301.36,301.36,301.36,301.36,301.36,0,0,1
"2002-03-11",299.54,299.54,299.54,299.54,299.54,0,0,1
"2002-03-12",297.36,297.36,297.36,297.36,297.36,0,0,1
"2002-03-13",297.29,297.29,297.29,297.29,297.29,0,0,1
"2002-03-14",297.25,297.25,297.25,297.25,297.25,0,0,1
"2002-03-15",299.74,299.74,299.74,299.74,299.74,0,0,1
"2002-03-18",301.39,301.39,301.39,301.39,301.39,0,0,1
"2002-03-19",302.28,302.28,302.28,302.28,302.28,0,0,1
"2002-03-20",299.45,299.45,299.45,299.45,299.45,0,0,1
"2002-03-21",298.67,298.67,298.67,298.67,298.67,0,0,1
"2002-03-22",300.32,300.32,300.32,300.32,300.32,0,0,1
"2002-03-25",298.25,298.25,298.25,298.25,298.25,0,0,1
"2002-03-26",298.77,298.77,298.77,298.77,298.77,0,0,1
"2002-03-27",299.52,299.52,299.52,299.52,299.52,0,0,1
"2002-03-28",303.04,303.04,303.04,303.04,303.04,0,0,1
"2002-03-29",303.04,303.04,303.04,303.04,303.04,0,0,1
"2002-04-01",0,0,0,0,0,0,0,1
"2002-04-02",301.24,301.24,301.24,301.24,301.24,0,0,1
"2002-04-03",300.79,300.79,300.79,300.79,300.79,0,0,1
"2002-04-04",298,298,298,298,298,0,0,1
"2002-04-05",298,298,298,298,298,0,0,1
"2002-04-08",294.29,294.29,294.29,294.29,294.29,0,0,1
"2002-04-09",294.64,294.64,294.64,294.64,294.64,0,0,1
"2002-04-10",297.11,297.11,297.11,297.11,297.11,0,0,1
"2002-04-11",292.32,292.32,292.32,292.32,292.32,0,0,1
"2002-04-12",293.8,293.8,293.8,293.8,293.8,0,0,1
"2002-04-15",295.78,295.78,295.78,295.78,295.78,0,0,1
"2002-04-16",300.36,300.36,300.36,300.36,300.36,0,0,1
"2002-04-17",300.25,300.25,300.25,300.25,300.25,0,0,1
"2002-04-18",298.26,298.26,298.26,298.26,298.26,0,0,1
"2002-04-19",298.54,298.54,298.54,298.54,298.54,0,0,1
"2002-04-22",296.55,296.55,296.55,296.55,296.55,0,0,1
"2002-04-23",295.65,295.65,295.65,295.65,295.65,0,0,1
"2002-04-24",294.43,294.43,294.43,294.43,294.43,0,0,1
"2002-04-25",291.42,291.42,291.42,291.42,291.42,0,0,1
