"","1. open","2. high","3. low","4. close","5. adjusted close","6. volume","7. dividend amount","8. split coefficient"
"2001-08-29",1846.817,1865.4821,1837.942,1847.536,1847.536,0,0,1
"2001-08-30",1846.187,1846.542,1831.021,1839.631,1839.631,0,0,1
"2001-08-31",1838.214,1846.944,1831.517,1834.1379,1834.1379,0,0,1
"2001-09-03",1831.703,1831.796,1813.3669,1817.1899,1817.1899,0,0,1
"2001-09-04",1815.27,1862.399,1814.917,1862.36,1862.36,0,0,1
"2001-09-05",1868.361,1888.901,1863.833,1868.27,1868.27,0,0,1
"2001-09-06",1867.6331,1876.4709,1853.2889,1861.561,1861.561,0,0,1
"2001-09-07",1858.2419,1858.2419,1807.141,1808.844,1808.844,0,0,1
"2001-09-10",1790.21,1858.204,1774.832,1856.5291,1856.5291,0,0,1
"2001-09-11",1859.9659,1871.13,1849.6121,1863.78,1863.78,0,0,1
"2001-09-12",1822.129,1858.689,1815.593,1852.604,1852.604,0,0,1
"2001-09-13",1851.615,1857.855,1837.816,1839.9091,1839.9091,0,0,1
"2001-09-14",1838.674,1846.015,1814.744,1818.382,1818.382,0,0,1
"2001-09-17",1811.9041,1816.259,1782.5031,1784.608,1784.608,0,0,1
"2001-09-18",1784.5909,1817.559,1780.046,1798.6219,1798.6219,0,0,1
"2001-09-19",1800.239,1822.972,1784.911,1822.6949,1822.6949,0,0,1
"2001-09-20",1826.417,1836.786,1814.459,1818.4189,1818.4189,0,0,1
"2001-09-21",1815.562,1821.3409,1803.802,1807.019,1807.019,0,0,1
"2001-09-24",1804.887,1808.703,1791.621,1794.9611,1794.9611,0,0,1
"2001-09-25",1799.979,1813.307,1788.402,1793.884,1793.884,0,0,1
"2001-09-26",1793.651,1793.67,1765.1689,1767.814,1767.814,0,0,1
"2001-09-27",1765.6219,1779.1331,1750.764,1764.932,1764.932,0,0,1
"2001-09-28",1766.13,1774.297,1751.7209,1764.8669,1764.8669,0,0,1
"2001-10-01",1764.87,1764.87,1764.87,1764.87,1764.87,0,0,1
"2001-10-02",1764.87,1764.87,1764.87,1764.87,1764.87,0,0,1
"2001-10-03",1764.87,1764.87,1764.87,1764.87,1764.87,0,0,1
"2001-10-04",1764.87,1764.87,1764.87,1764.87,1764.87,0,0,1
"2001-10-05",1764.87,1764.87,1764.87,1764.87,1764.87,0,0,1
"2001-10-08",1766.1331,1773.798,1723.04,1726.533,1726.533,0,0,1
"2001-10-09",1724.173,1751.066,1722.223,1744.64,1744.64,0,0,1
"2001-10-10",1744.042,1744.637,1683.707,1686.6121,1686.6121,0,0,1
"2001-10-11",1682.317,1693.215,1634.208,1638.326,1638.326,0,0,1
"2001-10-12",1637.749,1700.708,1598.793,1691.326,1691.326,0,0,1
"2001-10-15",1692.173,1703.588,1670.265,1687.28,1687.28,0,0,1
"2001-10-16",1689.187,1691.651,1649.201,1655.902,1655.902,0,0,1
"2001-10-17",1654.929,1661.882,1635.916,1643.066,1643.066,0,0,1
"2001-10-18",1642.012,1651.11,1609.382,1615.579,1615.579,0,0,1
"2001-10-19",1610.4449,1610.4449,1550.912,1572.453,1572.453,0,0,1
"2001-10-22",1558.468,1563.3979,1514.8621,1520.6689,1520.6689,0,0,1
"2001-10-23",1642.22,1670.738,1625.149,1670.562,1670.562,0,0,1
"2001-10-24",1733.637,1744.923,1685.7159,1718.0601,1718.0601,0,0,1
"2001-10-25",1708.028,1708.028,1673.053,1676.499,1676.499,0,0,1
"2001-10-26",1669.157,1681.9041,1651.524,1677.8781,1677.8781,0,0,1
"2001-10-29",1678.725,1701.124,1678.725,1700.4771,1700.4771,0,0,1
"2001-10-30",1702.8621,1704.483,1680.437,1682.769,1682.769,0,0,1
