"","1. open","2. high","3. low","4. close","5. adjusted close","6. volume","7. dividend amount","8. split coefficient"
"2001-08-29",1612.05,1612.05,1612.05,1612.05,1612.05,0,0,1
"2001-08-30",1584.77,1584.77,1584.77,1584.77,1584.77,0,0,1
"2001-08-31",1591.1801,1591.1801,1591.1801,1591.1801,1591.1801,0,0,1
"2001-09-04",1590.29,1590.29,1590.29,1590.29,1590.29,0,0,1
"2001-09-05",1588.9301,1588.9301,1588.9301,1588.9301,1588.9301,0,0,1
"2001-09-06",1553.41,1553.41,1553.41,1553.41,1553.41,0,0,1
"2001-09-07",1524.47,1524.47,1524.47,1524.47,1524.47,0,0,1
"2001-09-10",1533.98,1533.98,1533.98,1533.98,1533.98,0,0,1
"2001-09-17",1459,1459,1459,1459,1459,0,0,1
"2001-09-18",1450.54,1450.54,1450.54,1450.54,1450.54,0,0,1
"2001-09-19",1427.25,1427.25,1427.25,1427.25,1427.25,0,0,1
"2001-09-20",1382.9301,1382.9301,1382.9301,1382.9301,1382.9301,0,0,1
"2001-09-21",1356.61,1356.61,1356.61,1356.61,1356.61,0,0,1
"2001-09-24",1409.5,1409.5,1409.5,1409.5,1409.5,0,0,1
"2001-09-25",1421.91,1421.91,1421.91,1421.91,1421.91,0,0,1
"2001-09-26",1415.01,1415.01,1415.01,1415.01,1415.01,0,0,1
"2001-09-27",1431.29,1431.29,1431.29,1431.29,1431.29,0,0,1
"2001-09-28",1462.6899,1462.6899,1462.6899,1462.6899,1462.6899,0,0,1
"2001-10-01",1459.33,1459.33,1459.33,1459.33,1459.33,0,0,1
"2001-10-02",1477.29,1477.29,1477.29,1477.29,1477.29,0,0,1
"2001-10-03",1507.03,1507.03,1507.03,1507.03,1507.03,0,0,1
"2001-10-04",1503.3101,1503.3101,1503.3101,1503.3101,1503.3101,0,0,1
"2001-10-05",1506.11,1506.11,1506.11,1506.11,1506.11,0,0,1
"2001-10-08",1493.54,1493.54,1493.54,1493.54,1493.54,0,0,1
"2001-10-09",1485.63,1485.63,1485.63,1485.63,1485.63,0,0,1
"2001-10-10",1519.77,1519.77,1519.77,1519.77,1519.77,0,0,1
"2001-10-11",1542.98,1542.98,1542.98,1542.98,1542.98,0,0,1
"2001-10-12",1534.86,1534.86,1534.86,1534.86,1534.86,0,0,1
"2001-10-15",1532.52,1532.52,1532.52,1532.52,1532.52,0,0,1
"2001-10-16",1543.15,1543.15,1543.15,1543.15,1543.15,0,0,1
"2001-10-17",1514.5,1514.5,1514.5,1514.5,1514.5,0,0,1
"2001-10-18",1502.61,1502.61,1502.61,1502.61,1502.61,0,0,1
"2001-10-19",1509.46,1509.46,1509.46,1509.46,1509.46,0,0,1
"2001-10-22",1532.55,1532.55,1532.55,1532.55,1532.55,0,0,1
"2001-10-23",1525.35,1525.35,1525.35,1525.35,1525.35,0,0,1
"2001-10-24",1525.96,1525.96,1525.96,1525.96,1525.96,0,0,1
"2001-10-25",1546.9,1546.9,1546.9,1546.9,1546.9,0,0,1
"2001-10-26",1553.26,1553.26,1553.26,1553.26,1553.26,0,0,1
"2001-10-29",1516.39,1516.39,1516.39,1516.39,1516.39,0,0,1
"2001-10-30",1490.4399,1490.4399,1490.4399,1490.4399,1490.4399,0,0,1
"2001-10-31",1490.58,1490.58,1490.58,1490.58,1490.58,0,0,1
"2001-11-01",1524.96,1524.96,1524.96,1524.96,1524.96,0,0,1
"2001-11-02",1529.35,1529.35,1529.35,1529.35,1529.35,0,0,1
"2001-11-05",1551.39,1551.39,1551.39,1551.39,1551.39,0,0,1
"2001-11-06",1573.9301,1573.9301,1573.9301,1573.9301,1573.9301,0,0,1
"2001-11-07",1570.16,1570.16,1570.16,1570.16,1570.16,0,0,1
"2001-11-08",1574.09,1574.09,1574.09,1574.09,1574.09,0,0,1
"2001-11-09",1576.61,1576.61,1576.61,1576.61,1576.61,0,0,1
"2001-11-12",1573.8199,1573.8199,1573.8199,1573.8199,1573.8199,0,0,1
"2001-11-13",1603.28,1603.28,1603.28,1603.28,1603.28,0,0,1
"2001-11-14",1606.64,1606.64,1606.64,1606.64,1606.64,0,0,1
"2001-11-15",1608.09,1608.09,1608.09,1608.09,1608.09,0,0,1
"2001-11-16",1603.17,1603.17,1603.17,1603.17,1603.17,0,0,1
"2001-11-19",1620.66,1620.66,1620.66,1620.66,1620.66,0,0,1
"2001-11-20",1608.9,1608.9,1608.9,1608.9,1608.9,0,0,1
"2001-11-21",1601.02,1601.02,1601.02,1601.02,1601.02,0,0,1
"2001-11-23",1619.78,1619.78,1619.78,1619.78,1619.78,0,0,1
"2001-11-26",1629.76,1629.76,1629.76,1629.76,1629.76,0,0,1
"2001-11-27",1618.62,1618.62,1618.62,1618.62,1618.62,0,0,1
"2001-11-28",1589.38,1589.38,1589.38,1589.38,1589.38,0,0,1
"2001-11-29",1605.99,1605.99,1605.99,1605.99,1605.99,0,0,1
"2001-11-30",1604.92,1604.92,1604.92,1604.92,1604.92,0,0,1
"2001-12-03",1591.48,1591.48,1591.48,1591.48,1591.48,0,0,1
"2001-12-04",1612.47,1612.47,1612.47,1612.47,1612.47,0,0,1
"2001-12-05",1649,1649,1649,1649,1649,0,0,1
"2001-12-06",1644.48,1644.48,1644.48,1644.48,1644.48,0,0,1
"2001-12-07",1632.1,1632.1,1632.1,1632.1,1632.1,0,0,1
"2001-12-10",1606.23,1606.23,1606.23,1606.23,1606.23,0,0,1
"2001-12-11",1601.76,1601.76,1601.76,1601.76,1601.76,0,0,1
"2001-12-12",1602.45,1602.45,1602.45,1602.45,1602.45,0,0,1
"2001-12-13",1577.58,1577.58,1577.58,1577.58,1577.58,0,0,1
"2001-12-14",1582.8101,1582.8101,1582.8101,1582.8101,1582.8101,0,0,1
"2001-12-17",1598.74,1598.74,1598.74,1598.74,1598.74,0,0,1
"2001-12-18",1610.83,1610.83,1610.83,1610.83,1610.83,0,0,1
"2001-12-19",1620.27,1620.27,1620.27,1620.27,1620.27,0,0,1
"2001-12-20",1606.92,1606.92,1606.92,1606.92,1606.92,0,0,1
"2001-12-21",1613.9399,1613.9399,1613.9399,1613.9399,1613.9399,0,0,1
"2001-12-24",1613.6,1613.6,1613.6,1613.6,1613.6,0,0,1
"2001-12-26",1620.26,1620.26,1620.26,1620.26,1620.26,0,0,1
"2001-12-27",1631.6899,1631.6899,1631.6899,1631.6899,1631.6899,0,0,1
"2001-12-28",1637.23,1637.23,1637.23,1637.23,1637.23,0,0,1
"2001-12-31",1618.98,1618.98,1618.98,1618.98,1618.98,0,0,1
"2002-01-02",1628.51,1628.51,1628.51,1628.51,1628.51,0,0,1
"2002-01-03",1643.48,1643.48,1643.48,1643.48,1643.48,0,0,1
"2002-01-04",1653.6899,1653.6899,1653.6899,1653.6899,1653.6899,0,0,1
"2002-01-07",1642.95,1642.95,1642.95,1642.95,1642.95,0,0,1
"2002-01-08",1637.48,1637.48,1637.48,1637.48,1637.48,0,0,1
"2002-01-09",1629.7,1629.7,1629.7,1629.7,1629.7,0,0,1
"2002-01-10",1631.72,1631.72,1631.72,1631.72,1631.72,0,0,1
"2002-01-11",1616.35,1616.35,1616.35,1616.35,1616.35,0,0,1
"2002-01-14",1606.2,1606.2,1606.2,1606.2,1606.2,0,0,1
"2002-01-15",1617.1801,1617.1801,1617.1801,1617.1801,1617.1801,0,0,1
"2002-01-16",1591.04,1591.04,1591.04,1591.04,1591.04,0,0,1
"2002-01-17",1607.02,1607.02,1607.02,1607.02,1607.02,0,0,1
"2002-01-18",1591.08,1591.08,1591.08,1591.08,1591.08,0,0,1
"2002-01-22",1579.41,1579.41,1579.41,1579.41,1579.41,0,0,1
"2002-01-23",1591.9399,1591.9399,1591.9399,1591.9399,1591.9399,0,0,1
"2002-01-24",1597.55,1597.55,1597.55,1597.55,1597.55,0,0,1
"2002-01-25",1599.14,1599.14,1599.14,1599.14,1599.14,0,0,1
"2002-01-28",1598.86,1598.86,1598.86,1598.86,1598.86,0,0,1
"2002-01-29",1553.23,1553.23,1553.23,1553.23,1553.23,0,0,1
"2002-01-30",1571.6899,1571.6899,1571.6899,1571.6899,1571.6899,0,0,1
"2002-01-31",1595.35,1595.35,1595.35,1595.35,1595.35,0,0,1
"2002-02-01",1584.0601,1584.0601,1584.0601,1584.0601,1584.0601,0,0,1
"2002-02-04",1544.89,1544.89,1544.89,1544.89,1544.89,0,0,1
"2002-02-05",1538.7,1538.7,1538.7,1538.7,1538.7,0,0,1
"2002-02-06",1529.6801,1529.6801,1529.6801,1529.6801,1529.6801,0,0,1
"2002-02-07",1525.26,1525.26,1525.26,1525.26,1525.26,0,0,1
"2002-02-08",1547.9399,1547.9399,1547.9399,1547.9399,1547.9399,0,0,1
"2002-02-11",1570.21,1570.21,1570.21,1570.21,1570.21,0,0,1
"2002-02-12",1563.95,1563.95,1563.95,1563.95,1563.95,0,0,1
"2002-02-13",1580.03,1580.03,1580.03,1580.03,1580.03,0,0,1
"2002-02-14",1577.29,1577.29,1577.29,1577.29,1577.29,0,0,1
"2002-02-15",1559.98,1559.98,1559.98,1559.98,1559.98,0,0,1
"2002-02-19",1530.58,1530.58,1530.58,1530.58,1530.58,0,0,1
"2002-02-20",1551.37,1551.37,1551.37,1551.37,1551.37,0,0,1
"2002-02-21",1527.34,1527.34,1527.34,1527.34,1527.34,0,0,1
"2002-02-22",1539.91,1539.91,1539.91,1539.91,1539.91,0,0,1
"2002-02-25",1567.59,1567.59,1567.59,1567.59,1567.59,0,0,1
"2002-02-26",1567.65,1567.65,1567.65,1567.65,1567.65,0,0,1
"2002-02-27",1569.01,1569.01,1569.01,1569.01,1569.01,0,0,1
